 initial abundance for selected isotopes
  288   0.00000E+00  CL 27
  289   0.00000E+00  CL 28
  290   0.00000E+00  CL 29
  291   0.00000E+00  CL 30
  292   0.00000E+00  CL 31
  293   0.00000E+00  CL 32
  294   0.00000E+00  CL 33
  295   0.00000E+00  CL 34
  296   0.00000E+00  CL 35
  297   0.00000E+00  CL 36
  298   0.00000E+00  CL 37
  299   0.00000E+00  CL 38
  300   0.00000E+00  CL 39
  301   0.00000E+00  CL 40
  302   0.00000E+00  CL 41
  303   0.00000E+00  CL 42
  304   0.00000E+00  CL 43
  305   0.00000E+00  CL 44
  306   0.00000E+00  CL 45
  307   0.00000E+00  CL 46
  308   0.00000E+00  CL 47
  309   0.00000E+00  CL 48
  310   0.00000E+00  CL 49
  311   0.00000E+00  CL 50
  312   0.00000E+00  CL 51
  313   0.00000E+00  CL 52
  314   0.00000E+00  CL 53
  315   0.00000E+00  CL 54
  316   0.00000E+00  CL 55
  317   0.00000E+00  CL 56
  318   0.00000E+00  CL 57
  319   0.00000E+00  CL 58
  320   0.00000E+00  CL 59
  321   0.00000E+00  CL 60
  322   0.00000E+00  CL 61
  323   0.00000E+00  CL 62
  324   0.00000E+00  CL 63
  325   0.00000E+00  AR 27
  326   0.00000E+00  AR 28
  327   0.00000E+00  AR 29
  328   0.00000E+00  AR 30
  329   0.00000E+00  AR 31
  330   0.00000E+00  AR 32
  331   0.00000E+00  AR 33
  332   0.00000E+00  AR 34
  333   0.00000E+00  AR 35
  334   0.00000E+00  AR 36
  335   0.00000E+00  AR 37
  336   0.00000E+00  AR 38
  337   0.00000E+00  AR 39
  338   0.00000E+00  AR 40
  339   0.00000E+00  AR 41
  340   0.00000E+00  AR 42
  341   0.00000E+00  AR 43
  342   0.00000E+00  AR 44
  343   0.00000E+00  AR 45
  344   0.00000E+00  AR 46
  345   0.00000E+00  AR 47
  346   0.00000E+00  AR 48
  347   0.00000E+00  AR 49
  348   0.00000E+00  AR 50
  349   0.00000E+00  AR 51
  350   0.00000E+00  AR 52
  351   0.00000E+00  AR 53
  352   0.00000E+00  AR 54
  353   0.00000E+00  AR 55
  354   0.00000E+00  AR 56
  355   0.00000E+00  AR 57
  356   0.00000E+00  AR 58
  357   0.00000E+00  AR 59
  358   0.00000E+00  AR 60
  359   0.00000E+00  AR 61
  360   0.00000E+00  AR 62
  361   0.00000E+00  AR 63
  362   0.00000E+00  AR 64
  363   0.00000E+00  AR 65
  364   0.00000E+00  AR 66
  365   0.00000E+00  AR 67
  366   0.00000E+00  K  29
  367   0.00000E+00  K  30
  368   0.00000E+00  K  31
  369   0.00000E+00  K  32
  370   0.00000E+00  K  33
  371   0.00000E+00  K  34
  372   0.00000E+00  K  35
  373   0.00000E+00  K  36
  374   0.00000E+00  K  37
  375   0.00000E+00  K  38
  376   0.00000E+00  K  39
  377   0.00000E+00  K  40
  378   0.00000E+00  K  41
  379   0.00000E+00  K  42
  380   0.00000E+00  K  43
  381   0.00000E+00  K  44
  382   0.00000E+00  K  45
  383   0.00000E+00  K  46
  384   0.00000E+00  K  47
  385   0.00000E+00  K  48
  386   0.00000E+00  K  49
  387   0.00000E+00  K  50
  388   0.00000E+00  K  51
  389   0.00000E+00  K  52
  390   0.00000E+00  K  53
  391   0.00000E+00  K  54
  392   0.00000E+00  K  55
  393   0.00000E+00  K  56
  394   0.00000E+00  K  57
  395   0.00000E+00  K  58
  396   0.00000E+00  K  59
  397   0.00000E+00  K  60
  398   0.00000E+00  K  61
  399   0.00000E+00  K  62
  400   0.00000E+00  K  63
  401   0.00000E+00  K  64
  402   0.00000E+00  K  65
  403   0.00000E+00  K  66
  404   0.00000E+00  K  67
  405   0.00000E+00  K  68
  406   0.00000E+00  K  69
  407   0.00000E+00  K  70
  408   0.00000E+00  CA 30
  409   0.00000E+00  CA 31
  410   0.00000E+00  CA 32
  411   0.00000E+00  CA 33
  412   0.00000E+00  CA 34
  413   0.00000E+00  CA 35
  414   0.00000E+00  CA 36
  415   0.00000E+00  CA 37
  416   0.00000E+00  CA 38
  417   0.00000E+00  CA 39
  418   0.00000E+00  CA 40
  419   0.00000E+00  CA 41
  420   0.00000E+00  CA 42
  421   0.00000E+00  CA 43
  422   0.00000E+00  CA 44
  423   0.00000E+00  CA 45
  424   0.00000E+00  CA 46
  425   0.00000E+00  CA 47
  426   0.00000E+00  CA 48
  427   0.00000E+00  CA 49
  428   0.00000E+00  CA 50
  429   0.00000E+00  CA 51
  430   0.00000E+00  CA 52
  431   0.00000E+00  CA 53
  432   0.00000E+00  CA 54
  433   0.00000E+00  CA 55
  434   0.00000E+00  CA 56
  435   0.00000E+00  CA 57
  436   0.00000E+00  CA 58
  437   0.00000E+00  CA 59
  438   0.00000E+00  CA 60
  439   0.00000E+00  CA 61
  440   0.00000E+00  CA 62
  441   0.00000E+00  CA 63
  442   0.00000E+00  CA 64
  443   0.00000E+00  CA 65
  444   0.00000E+00  CA 66
  445   0.00000E+00  CA 67
  446   0.00000E+00  CA 68
